Uptown Girl - Westlife,Anyone Of Us (Stupid Mistake) - Gareth Gates,All The Things She Said - t.A.T.u,All This Time - Michelle
Don't Stop Moving - S Club 7,Whenever Wherever - Shakira,Changes - Ozzy & Kelly Osbourne,Left Outside Alone - Anastacia
Angel - Shaggy ft Rayvon,The Ketchup Song (Aserejé) - Las Ketchup,Breathe - Blu Cantrell ft Sean Paul,Mysterious Girl - Peter Andre
Teenage Dirtbag - Wheatus,Just a Little - Liberty X,Make Luv - Room 5 ft Oliver Cheatham,Toxic - Britney Spears
Because I Got High - Afroman,Without Me - Eminem,Christmas Time (Don't Let the Bells End) - The Darkness,F.U.R.B (F U Right Back) - Frankee
All About You - McFly,From Paris to Berlin - Infernal,About You Now - Sugababes,American Boy - Estelle ft Kanye West
Lonely - Akon,Maneater - Nelly Furtado,The Way I Are - Timbaland ft Keri Hilson,Sex on Fire - Kings of Leon
Hung Up - Madonna,Patience - Take That,(I'm Gonna Be) 500 Miles - The Proclaimers ft Brian Potter & Andy Pipkin,Now You're Gone - Basshunter ft DJ Mental Theo
You Raise Me Up - Westlife,SOS - Rihanna,Valerie - Mark Ronson ft Amy Winehouse,4 Minutes - Madonna ft Justin Timberlake
Push The Button - Sugababes,SexyBack - Justin Timberlake,Ruby - Kaiser Chiefs,Black & Gold - Sam Sparro
In For The Kill - La Roux,Fireflies - Owl City,"Give Me Everything - Pitbull ft Ne-Yo, Afrojack & Nayer",Gangnam Style - PSY
Boom Boom Pow - The Black Eyed Peas,Airplanes - B.o.B ft Hayley Williams,Grenade - Bruno Mars,Starships - Nicki Minaj
Killing In the Name - Rage Against The Machine,California Gurls - Katy Perry ft Snoop Dogg,The A Team - Ed Sheeran,Domino - Jessie J
Bad Boys - Alexandra Burke ft Flo Rida,We No Speak Americano - Yolanda Be Cool vs D Cup,Rolling in the Deep - Adele,Payphone - Maroon 5 ft Wiz Khalifa
Meet Me Halfway - The Black Eyed Peas,Pass Out - Tinie Tempah,On The Floor - Jennifer Lopez ft Pitbull,Wild Ones - Flo Rida ft Sia
Roar - Katy Perry,Ghost - Ella Henderson,Hello - Adele,Lush Life - Zara Larsson
Thrift Shop - Macklemore & Ryan Lewis ft Wanz,Stay With Me - Sam Smith,Lean On - Major Lazer ft MØ & DJ Snake,Closer - The Chainsmokers ft Halsey
Just Give Me a Reason - Pink ft Nate Ruess,All About That Bass - Meghan Trainor,Hold Back The River - James Bay,Love Yourself - Justin Bieber
Counting Stars - OneRepublic,Timber - Pitbull ft Kesha,What Do You Mean? - Justin Bieber,Work - Rihanna ft Drake
Mirrors - Justin Timberlake,Budapest - George Ezra,Sorry - Justin Bieber,Can't Stop the Feeling! - Justin Timberlake
Perfect - Ed Sheeran,Perfect - Ed Sheeran,Sweet but Psycho - Ava Max,Don't Start Now - Dua Lipa
Symphony - Clean Bandit ft Zara Larsson,Nice For What - Drake,Vossi Bop - Stormzy,Rockstar - DaBaby ft Roddy Ricch
Human - Rag'n'Bone Man,Paradise - George Ezra,Dance Monkey - Tones & I,Someone You Loved - Lewis Capaldi
Something Just Like This - The Chainsmokers ft Coldplay,no tears left to cry - Ariana Grande,Don't Call Me Up - Mabel,Own It - Stormzy ft Ed Sheeran & Burna Boy
You Don't Know Me - Jax Jones ft RAYE,Feel It Still - Portugal. The Man,Señorita - Shawn Mendes & Camila Cabello,Watermelon Sugar - Harry Styles
